Codigo;Comunidad;Tipo de dato;Periodo;Total;
19;Melilla;Dato base;2019;;
18;Ceuta;Dato base;2019;;
17;Rioja, La;Dato base;2019;139497;
16;País Vasco;Dato base;2019;1611280;
15;Navarra, Comunidad Foral de;Dato base;2019;415054;
14;Murcia, Región de;Dato base;2019;1037818;
13;Madrid, Comunidad de;Dato base;2019;7640980;
12;Galicia;Dato base;2019;1624711;
11;Extremadura;Dato base;2019;469398;
10;Comunitat Valenciana;Dato base;2019;9535496;
9;Cataluña;Dato base;2019;19375152;
8;Castilla - La Mancha;Dato base;2019;262044;
7;Castilla y León;Dato base;2019;1286198;
6;Cantabria;Dato base;2019;392516;
5;Canarias;Dato base;2019;13146863;
4;Balears, Illes;Dato base;2019;13679781;
3;Asturias, Principado de;Dato base;2019;317860;
2;Aragón;Dato base;2019;544761;
1;Andalucía;Dato base;2019;12023153;
19;Melilla;Dato base;2020;;
18;Ceuta;Dato base;2020;;
17;Rioja, La;Dato base;2020;45355;
16;País Vasco;Dato base;2020;527286;
15;Navarra, Comunidad Foral de;Dato base;2020;146325;
14;Murcia, Región de;Dato base;2020;279245;
13;Madrid, Comunidad de;Dato base;2020;1718335;
12;Galicia;Dato base;2020;540004;
11;Extremadura;Dato base;2020;156169;
10;Comunitat Valenciana;Dato base;2020;2542758;
9;Cataluña;Dato base;2020;3870259;
8;Castilla - La Mancha;Dato base;2020;95887;
7;Castilla y León;Dato base;2020;430405;
6;Cantabria;Dato base;2020;106392;
5;Canarias;Dato base;2020;3787228;
4;Balears, Illes;Dato base;2020;1721123;
3;Asturias, Principado de;Dato base;2020;92222;
2;Aragón;Dato base;2020;172084;
1;Andalucía;Dato base;2020;2700613;
19;Melilla;Dato base;2021;8918;
18;Ceuta;Dato base;2021;3942;
17;Rioja, La;Dato base;2021;47913;
16;País Vasco;Dato base;2021;668683;
15;Navarra, Comunidad Foral de;Dato base;2021;123614;
14;Murcia, Región de;Dato base;2021;385228;
13;Madrid, Comunidad de;Dato base;2021;2177068;
12;Galicia;Dato base;2021;772452;
11;Extremadura;Dato base;2021;218790;
10;Comunitat Valenciana;Dato base;2021;4019766;
9;Cataluña;Dato base;2021;5787837;
8;Castilla - La Mancha;Dato base;2021;98134;
7;Castilla y León;Dato base;2021;499370;
6;Cantabria;Dato base;2021;159960;
5;Canarias;Dato base;2021;5258729;
4;Balears, Illes;Dato base;2021;6324711;
3;Asturias, Principado de;Dato base;2021;161462;
2;Aragón;Dato base;2021;215884;
1;Andalucía;Dato base;2021;4248340;
19;Melilla;Dato base;2022;25224;
18;Ceuta;Dato base;2022;35937;
17;Rioja, La;Dato base;2022;105910;
16;País Vasco;Dato base;2022;1545013;
15;Navarra, Comunidad Foral de;Dato base;2022;273406;
14;Murcia, Región de;Dato base;2022;821232;
13;Madrid, Comunidad de;Dato base;2022;6048182;
12;Galicia;Dato base;2022;1271894;
11;Extremadura;Dato base;2022;319504;
10;Comunitat Valenciana;Dato base;2022;8616445;
9;Cataluña;Dato base;2022;14852042;
8;Castilla - La Mancha;Dato base;2022;200063;
7;Castilla y León;Dato base;2022;1016508;
6;Cantabria;Dato base;2022;323694;
5;Canarias;Dato base;2022;12328012;
4;Balears, Illes;Dato base;2022;13203885;
3;Asturias, Principado de;Dato base;2022;277267;
2;Aragón;Dato base;2022;385175;
1;Andalucía;Dato base;2022;10009890;
19;Melilla;Dato base;2023;25521;
18;Ceuta;Dato base;2023;46568;
17;Rioja, La;Dato base;2023;118208;
16;País Vasco;Dato base;2023;2002173;
15;Navarra, Comunidad Foral de;Dato base;2023;363686;
14;Murcia, Región de;Dato base;2023;976513;
13;Madrid, Comunidad de;Dato base;2023;7846067;
12;Galicia;Dato base;2023;1616929;
11;Extremadura;Dato base;2023;280110;
10;Comunitat Valenciana;Dato base;2023;10474167;
9;Cataluña;Dato base;2023;18182612;
8;Castilla - La Mancha;Dato base;2023;217062;
7;Castilla y León;Dato base;2023;1217204;
6;Cantabria;Dato base;2023;434110;
5;Canarias;Dato base;2023;13950687;
4;Balears, Illes;Dato base;2023;14424512;
3;Asturias, Principado de;Dato base;2023;375560;
2;Aragón;Dato base;2023;426796;
1;Andalucía;Dato base;2023;12190565;
19;Melilla;Dato base;2024;28967;
18;Ceuta;Dato base;2024;64048;
17;Rioja, La;Dato base;2024;123123;
16;País Vasco;Dato base;2024;2148737;
15;Navarra, Comunidad Foral de;Dato base;2024;513034;
14;Murcia, Región de;Dato base;2024;1144121;
13;Madrid, Comunidad de;Dato base;2024;8824800;
12;Galicia;Dato base;2024;1832907;
11;Extremadura;Dato base;2024;240209;
10;Comunitat Valenciana;Dato base;2024;11914970;
9;Cataluña;Dato base;2024;19940218;
8;Castilla - La Mancha;Dato base;2024;235716;
7;Castilla y León;Dato base;2024;1340659;
6;Cantabria;Dato base;2024;467781;
5;Canarias;Dato base;2024;15227841;
4;Balears, Illes;Dato base;2024;15306313;
3;Asturias, Principado de;Dato base;2024;331820;
2;Aragón;Dato base;2024;500792;
1;Andalucía;Dato base;2024;13573242;
